Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401070213,"BOS 105, PHI 87",Boston Celtics,Philadelphia 76ers,20181016,Boston Celtics,105,Philadelphia 76ers,87,Yes
401070214,"GS 108, OKC 100",Golden State Warriors,Oklahoma City Thunder,20181016,Golden State Warriors,108,Oklahoma City Thunder,100,Yes
401070693,"MIL 113, CHA 112",Charlotte Hornets,Milwaukee Bucks,20181017,Milwaukee Bucks,113,Charlotte Hornets,112,No
401070694,"DET 103, BKN 100",Detroit Pistons,Brooklyn Nets,20181017,Detroit Pistons,103,Brooklyn Nets,100,Yes
401070695,"IND 111, MEM 83",Indiana Pacers,Memphis Grizzlies,20181017,Indiana Pacers,111,Memphis Grizzlies,83,Yes
401070696,"ORL 104, MIA 101",Orlando Magic,Miami Heat,20181017,Orlando Magic,104,Miami Heat,101,Yes
401070697,"NY 126, ATL 107",New York Knicks,Atlanta Hawks,20181017,New York Knicks,126,Atlanta Hawks,107,Yes
401070698,"TOR 116, CLE 104",Toronto Raptors,Cleveland Cavaliers,20181017,Toronto Raptors,116,Cleveland Cavaliers,104,Yes
401070215,"NO 131, HOU 112",Houston Rockets,New Orleans Pelicans,20181017,New Orleans Pelicans,131,Houston Rockets,112,No
401070699,"SA 112, MIN 108",San Antonio Spurs,Minnesota Timberwolves,20181017,San Antonio Spurs,112,Minnesota Timberwolves,108,Yes
401070700,"UTAH 123, SAC 117",Sacramento Kings,Utah Jazz,20181017,Utah Jazz,123,Sacramento Kings,117,No
401070216,"PHX 121, DAL 100",Phoenix Suns,Dallas Mavericks,20181017,Phoenix Suns,121,Dallas Mavericks,100,Yes
401070701,"DEN 107, LAC 98",LA Clippers,Denver Nuggets,20181017,Denver Nuggets,107,LA Clippers,98,No
401070217,"PHI 127, CHI 108",Philadelphia 76ers,Chicago Bulls,20181018,Philadelphia 76ers,127,Chicago Bulls,108,Yes
401070702,"MIA 113, WSH 112",Washington Wizards,Miami Heat,20181018,Miami Heat,113,Washington Wizards,112,No
401070218,"POR 128, LAL 119",Portland Trail Blazers,Los Angeles Lakers,20181018,Portland Trail Blazers,128,Los Angeles Lakers,119,Yes
401070703,"CHA 120, ORL 88",Orlando Magic,Charlotte Hornets,20181019,Charlotte Hornets,120,Orlando Magic,88,No
401070704,"BKN 107, NY 105",Brooklyn Nets,New York Knicks,20181019,Brooklyn Nets,107,New York Knicks,105,Yes
401070219,"TOR 113, BOS 101",Toronto Raptors,Boston Celtics,20181019,Toronto Raptors,113,Boston Celtics,101,Yes
401070705,"MEM 131, ATL 117",Memphis Grizzlies,Atlanta Hawks,20181019,Memphis Grizzlies,131,Atlanta Hawks,117,Yes
401070706,"MIN 131, CLE 123",Minnesota Timberwolves,Cleveland Cavaliers,20181019,Minnesota Timberwolves,131,Cleveland Cavaliers,123,Yes
401070707,"NO 149, SAC 129",New Orleans Pelicans,Sacramento Kings,20181019,New Orleans Pelicans,149,Sacramento Kings,129,Yes
401070708,"MIL 118, IND 101",Milwaukee Bucks,Indiana Pacers,20181019,Milwaukee Bucks,118,Indiana Pacers,101,Yes
401070220,"GS 124, UTAH 123",Utah Jazz,Golden State Warriors,20181019,Golden State Warriors,124,Utah Jazz,123,No
401070709,"LAC 108, OKC 92",LA Clippers,Oklahoma City Thunder,20181019,LA Clippers,108,Oklahoma City Thunder,92,Yes
401070221,"TOR 117, WSH 113",Washington Wizards,Toronto Raptors,20181020,Toronto Raptors,117,Washington Wizards,113,No
401070710,"IND 132, BKN 112",Indiana Pacers,Brooklyn Nets,20181020,Indiana Pacers,132,Brooklyn Nets,112,Yes
401070711,"BOS 103, NY 101",New York Knicks,Boston Celtics,20181020,Boston Celtics,103,New York Knicks,101,No
401070712,"PHI 116, ORL 115",Philadelphia 76ers,Orlando Magic,20181020,Philadelphia 76ers,116,Orlando Magic,115,Yes
401070713,"CHA 113, MIA 112",Miami Heat,Charlotte Hornets,20181020,Charlotte Hornets,113,Miami Heat,112,No
401070714,"DET 118, CHI 116",Chicago Bulls,Detroit Pistons,20181020,Detroit Pistons,118,Chicago Bulls,116,No
401070715,"DAL 140, MIN 136",Dallas Mavericks,Minnesota Timberwolves,20181020,Dallas Mavericks,140,Minnesota Timberwolves,136,Yes
401070716,"DEN 119, PHX 91",Denver Nuggets,Phoenix Suns,20181020,Denver Nuggets,119,Phoenix Suns,91,Yes
401070717,"POR 121, SA 108",Portland Trail Blazers,San Antonio Spurs,20181020,Portland Trail Blazers,121,San Antonio Spurs,108,Yes
401070222,"HOU 124, LAL 115",Los Angeles Lakers,Houston Rockets,20181020,Houston Rockets,124,Los Angeles Lakers,115,No
401070718,"ATL 133, CLE 111",Cleveland Cavaliers,Atlanta Hawks,20181021,Atlanta Hawks,133,Cleveland Cavaliers,111,No
401070719,"SAC 131, OKC 120",Oklahoma City Thunder,Sacramento Kings,20181021,Sacramento Kings,131,Oklahoma City Thunder,120,No
401070720,"DEN 100, GS 98",Denver Nuggets,Golden State Warriors,20181021,Denver Nuggets,100,Golden State Warriors,98,Yes
401070223,"LAC 115, HOU 112",LA Clippers,Houston Rockets,20181021,LA Clippers,115,Houston Rockets,112,Yes
401070721,"ORL 93, BOS 90",Boston Celtics,Orlando Magic,20181022,Orlando Magic,93,Boston Celtics,90,No
401070722,"TOR 127, CHA 106",Toronto Raptors,Charlotte Hornets,20181022,Toronto Raptors,127,Charlotte Hornets,106,Yes
401070723,"MIL 124, NY 113",Milwaukee Bucks,New York Knicks,20181022,Milwaukee Bucks,124,New York Knicks,113,Yes
401070724,"MIN 101, IND 91",Minnesota Timberwolves,Indiana Pacers,20181022,Minnesota Timberwolves,101,Indiana Pacers,91,Yes
401070725,"DAL 115, CHI 109",Dallas Mavericks,Chicago Bulls,20181022,Dallas Mavericks,115,Chicago Bulls,109,Yes
401070726,"MEM 92, UTAH 84",Utah Jazz,Memphis Grizzlies,20181022,Memphis Grizzlies,92,Utah Jazz,84,No
401070727,"WSH 125, POR 124 (OT)",Portland Trail Blazers,Washington Wizards,20181022,Washington Wizards,125,Portland Trail Blazers,124,No
