Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401267244,"NO 120, TOR 116",New Orleans Pelicans,Toronto Raptors,20210102,New Orleans Pelicans,120,Toronto Raptors,116,Yes
401267245,"BOS 122, DET 120",Detroit Pistons,Boston Celtics,20210103,Boston Celtics,122,Detroit Pistons,120,No
401267246,"WSH 123, BKN 122",Brooklyn Nets,Washington Wizards,20210103,Washington Wizards,123,Brooklyn Nets,122,No
401267247,"LAL 108, MEM 94",Memphis Grizzlies,Los Angeles Lakers,20210103,Los Angeles Lakers,108,Memphis Grizzlies,94,No
401267248,"DEN 124, MIN 109",Minnesota Timberwolves,Denver Nuggets,20210103,Denver Nuggets,124,Minnesota Timberwolves,109,No
401267249,"UTAH 130, SA 109",San Antonio Spurs,Utah Jazz,20210103,Utah Jazz,130,San Antonio Spurs,109,No
401267250,"CHI 118, DAL 108",Chicago Bulls,Dallas Mavericks,20210103,Chicago Bulls,118,Dallas Mavericks,108,Yes
401267251,"LAC 112, PHX 107",Phoenix Suns,LA Clippers,20210103,LA Clippers,112,Phoenix Suns,107,No
401267252,"GS 137, POR 122",Golden State Warriors,Portland Trail Blazers,20210103,Golden State Warriors,137,Portland Trail Blazers,122,Yes
401267253,"ORL 103, CLE 83",Orlando Magic,Cleveland Cavaliers,20210104,Orlando Magic,103,Cleveland Cavaliers,83,Yes
401267254,"PHI 118, CHA 101",Philadelphia 76ers,Charlotte Hornets,20210104,Philadelphia 76ers,118,Charlotte Hornets,101,Yes
401267255,"NY 113, ATL 108",Atlanta Hawks,New York Knicks,20210104,New York Knicks,113,Atlanta Hawks,108,No
401267256,"MIA 118, OKC 90",Miami Heat,Oklahoma City Thunder,20210104,Miami Heat,118,Oklahoma City Thunder,90,Yes
401267257,"BOS 126, TOR 114",Toronto Raptors,Boston Celtics,20210104,Boston Celtics,126,Toronto Raptors,114,No
401267258,"DAL 113, HOU 100",Houston Rockets,Dallas Mavericks,20210104,Dallas Mavericks,113,Houston Rockets,100,No
401267259,"MIL 125, DET 115",Milwaukee Bucks,Detroit Pistons,20210104,Milwaukee Bucks,125,Detroit Pistons,115,Yes
401267260,"IND 118, NO 116 (OT)",New Orleans Pelicans,Indiana Pacers,20210104,Indiana Pacers,118,New Orleans Pelicans,116,No
401267261,"GS 137, SAC 106",Golden State Warriors,Sacramento Kings,20210104,Golden State Warriors,137,Sacramento Kings,106,Yes
401267262,"BKN 130, UTAH 96",Brooklyn Nets,Utah Jazz,20210105,Brooklyn Nets,130,Utah Jazz,96,Yes
401267263,"LAL 94, MEM 92",Memphis Grizzlies,Los Angeles Lakers,20210105,Los Angeles Lakers,94,Memphis Grizzlies,92,No
401267264,"DEN 123, MIN 116",Denver Nuggets,Minnesota Timberwolves,20210105,Denver Nuggets,123,Minnesota Timberwolves,116,Yes
401267265,"SA 116, LAC 113",LA Clippers,San Antonio Spurs,20210105,San Antonio Spurs,116,LA Clippers,113,No
401267266,"CHI 111, POR 108",Portland Trail Blazers,Chicago Bulls,20210105,Chicago Bulls,111,Portland Trail Blazers,108,No
401267267,"IND 114, HOU 107",Indiana Pacers,Houston Rockets,20210106,Indiana Pacers,114,Houston Rockets,107,Yes
401267268,"ORL 105, CLE 94",Orlando Magic,Cleveland Cavaliers,20210106,Orlando Magic,105,Cleveland Cavaliers,94,Yes
